study_name;model_label;seq_length;features_length;accuracy_avg;accuracy_std;pneumonia_precision_avg;pneumonia_precision_std;pneumonia_recall_std;pneumonia_recall_std;pneumonia_f1_avg;pneumonia_f1_std;covid_precision_avg;covid_precision_std;covid_recall_avg;covid_recall_std;covid_f1_avg;covid_f1_std;healthy_precision_avg;healthy_precision_std;healthy_recall_avg;healthy_recall_std;healthy_f1_avg;healthy_f1_std
experiment_1;densenet169-20;20;1664;0.69;0.14;0.72;0.39;0.38;0.27;0.47;0.29;0.65;0.16;0.88;0.1;0.74;0.14;0.74;0.13;0.73;0.12;0.73;0.1
experiment_1;densenet201-5;5;1920;0.92;0.17;0.91;0.19;0.98;0.04;0.93;0.13;0.93;0.13;0.92;0.15;0.93;0.14;0.91;0.17;0.86;0.28;0.88;0.24
experiment_1;densenet201-10;10;1920;0.9;0.19;1.0;0.0;0.86;0.28;0.89;0.22;0.88;0.23;0.95;0.06;0.9;0.17;0.93;0.11;0.88;0.25;0.89;0.2
experiment_1;densenet201-15;15;1920;0.89;0.21;0.92;0.16;0.9;0.15;0.91;0.16;0.89;0.19;0.85;0.31;0.86;0.27;0.88;0.24;0.92;0.15;0.9;0.21
experiment_1;densenet201-20;20;1920;0.89;0.22;0.88;0.23;0.9;0.2;0.89;0.22;0.89;0.23;0.89;0.22;0.89;0.22;0.9;0.2;0.88;0.25;0.89;0.23
experiment_1;efficientnetb0-5;5;1280;0.39;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.25;0.3;0.4;0.22;0.27;0.3;0.15;0.77;0.39;0.43;0.22
experiment_1;efficientnetb0-10;10;1280;0.38;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.24;0.19;0.56;0.46;0.33;0.27;0.23;0.19;0.46;0.45;0.29;0.24
experiment_1;efficientnetb0-15;15;1280;0.39;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.19;0.24;0.32;0.42;0.23;0.28;0.3;0.15;0.72;0.39;0.42;0.21
experiment_1;efficientnetb0-20;20;1280;0.39;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.43;0.09;0.83;0.3;0.51;0.09;0.19;0.25;0.22;0.33;0.17;0.21
experiment_1;inceptionresnetv2-5;5;1536;0.75;0.27;0.7;0.4;0.64;0.39;0.67;0.39;0.73;0.25;0.85;0.23;0.76;0.23;0.69;0.39;0.72;0.37;0.7;0.37
experiment_1;inceptionresnetv2-10;10;1536;0.91;0.18;0.92;0.16;0.86;0.28;0.88;0.24;0.91;0.18;0.94;0.12;0.92;0.15;0.91;0.19;0.92;0.15;0.91;0.17
